,Simbolo,Volumen Negociación,Precio Ponderado,Precio Apertura,Precio Cierre,Precio Alto,Precio Bajo,Fecha,Transacciones
0,AAPL,104677470.0,181.4156,177.83,182.01,182.88,177.71,2022-01-03 05:00:00,772691
1,AAPL,99110438.0,180.5574,182.63,179.7,182.94,179.12,2022-01-04 05:00:00,831890
2,AAPL,94535602.0,177.2884,179.61,174.92,180.17,174.64,2022-01-05 05:00:00,848513
3,AAPL,96882954.0,173.08,172.7,172.0,175.3,171.64,2022-01-06 05:00:00,960340
4,AAPL,86709147.0,172.4383,172.89,172.17,174.14,171.03,2022-01-07 05:00:00,716881
5,AAPL,106754551.0,170.2886,169.08,172.19,172.5,168.17,2022-01-10 05:00:00,956337
6,AAPL,76138312.0,173.6337,172.32,175.08,175.18,170.82,2022-01-11 05:00:00,649652
7,AAPL,74805173.0,175.8343,176.12,175.53,177.18,174.82,2022-01-12 05:00:00,642756
8,AAPL,84405760.0,173.9711,175.78,172.19,176.62,171.79,2022-01-13 05:00:00,692343
9,AAPL,80440778.0,172.3612,171.34,173.07,173.78,171.09,2022-01-14 05:00:00,672552
10,AAPL,91063979.0,170.5404,171.51,169.8,172.54,169.405,2022-01-18 05:00:00,780899
11,AAPL,94814990.0,168.2999,170.0,166.23,171.08,165.94,2022-01-19 05:00:00,824022
12,AAPL,91420515.0,167.0706,166.98,164.51,169.68,164.18,2022-01-20 05:00:00,795585
13,AAPL,122824858.0,163.8807,164.415,162.41,166.33,162.3,2022-01-21 05:00:00,1079476
14,AAPL,162706686.0,158.6897,160.02,161.62,162.3,154.7,2022-01-24 05:00:00,1632710
15,AAPL,115777137.0,159.4274,158.98,159.78,162.76,157.02,2022-01-25 05:00:00,1008306
16,AAPL,108275307.0,161.41,163.5,159.69,164.3894,157.82,2022-01-26 05:00:00,1017706
17,AAPL,121954638.0,161.2969,162.45,159.22,163.84,158.28,2022-01-27 05:00:00,1161003
18,AAPL,179435660.0,167.3083,165.71,170.33,170.35,162.8,2022-01-28 05:00:00,1518049
19,AAPL,115522090.0,173.1568,170.16,174.78,175.0,169.51,2022-01-31 05:00:00,933480
20,AAPL,85595911.0,173.7061,174.01,174.61,174.84,172.31,2022-02-01 05:00:00,735250
21,AAPL,84914158.0,174.9413,174.745,175.84,175.88,173.33,2022-02-02 05:00:00,676308
22,AAPL,89418074.0,174.3835,174.48,172.9,176.2399,172.12,2022-02-03 05:00:00,724838
23,AAPL,82446700.0,172.3165,171.68,172.39,174.1,170.68,2022-02-04 05:00:00,702966
24,AAPL,77251204.0,172.4426,172.86,171.66,173.9458,170.95,2022-02-07 05:00:00,571410
25,AAPL,74829217.0,173.8127,171.73,174.83,175.35,171.43,2022-02-08 05:00:00,634268
26,AAPL,71204538.0,175.8287,176.05,176.28,176.65,174.9,2022-02-09 05:00:00,573996
27,AAPL,90715899.0,173.5408,174.14,172.12,175.48,171.55,2022-02-10 05:00:00,761963
28,AAPL,98490687.0,170.1997,172.33,168.64,173.08,168.04,2022-02-11 05:00:00,815714
29,AAPL,86185530.0,168.3917,167.37,168.88,169.58,166.56,2022-02-14 05:00:00,757491
30,AAPL,64286317.0,171.6596,170.97,172.79,172.95,170.25,2022-02-15 05:00:00,562851
31,AAPL,61139697.0,171.6489,171.85,172.55,173.34,170.05,2022-02-16 05:00:00,543032
32,AAPL,69589344.0,170.1812,171.03,168.88,171.91,168.47,2022-02-17 05:00:00,584118
33,AAPL,82772674.0,167.7969,169.82,167.3,170.5413,166.19,2022-02-18 05:00:00,687677
34,AAPL,91148358.0,164.5551,164.98,164.32,166.69,162.15,2022-02-22 05:00:00,897217
35,AAPL,90009247.0,162.1577,165.54,160.07,166.15,159.75,2022-02-23 05:00:00,820313
36,AAPL,141147540.0,158.0144,152.58,162.74,162.85,152.0,2022-02-24 05:00:00,1383829
37,AAPL,91974222.0,163.7895,163.84,164.85,165.12,160.8738,2022-02-25 05:00:00,812155
38,AAPL,95056629.0,164.268,163.06,165.12,165.42,162.43,2022-02-28 05:00:00,791485
39,AAPL,83468865.0,164.16,164.695,163.2,166.6,161.97,2022-03-01 05:00:00,749653
40,AAPL,79724750.0,165.8095,164.39,166.56,167.36,162.95,2022-03-02 05:00:00,668260
41,AAPL,76678441.0,166.918,168.47,166.23,168.91,165.55,2022-03-03 05:00:00,651764
42,AAPL,83819592.0,163.398,164.49,163.17,165.55,162.1,2022-03-04 05:00:00,743696
43,AAPL,96418845.0,161.4026,163.36,159.3,165.02,159.04,2022-03-07 05:00:00,847057
44,AAPL,131139480.0,158.7737,158.82,157.44,162.88,155.8,2022-03-08 05:00:00,1139149
45,AAPL,91445405.0,161.9446,161.475,162.95,163.41,159.41,2022-03-09 05:00:00,733685
46,AAPL,105342033.0,158.0284,160.2,158.52,160.39,155.98,2022-03-10 05:00:00,882861
47,AAPL,96917302.0,156.1598,158.93,154.73,159.28,154.5,2022-03-11 05:00:00,880727
48,AAPL,108712111.0,151.683,151.45,150.62,154.12,150.1,2022-03-14 04:00:00,969357
49,AAPL,92964302.0,153.4741,150.9,155.09,155.57,150.38,2022-03-15 04:00:00,719955
50,AAPL,102300157.0,157.6528,157.05,159.59,160.0,154.46,2022-03-16 04:00:00,833066
51,AAPL,75615376.0,159.4208,158.61,160.62,161.0,157.63,2022-03-17 04:00:00,629003
52,AAPL,122610172.0,162.5971,160.51,163.98,164.48,159.76,2022-03-18 04:00:00,713986
53,AAPL,95811352.0,164.7355,163.51,165.38,166.35,163.015,2022-03-21 04:00:00,721125
54,AAPL,81532007.0,168.2308,165.51,168.82,169.42,164.91,2022-03-22 04:00:00,638943
55,AAPL,98062674.0,170.7915,167.99,170.21,172.64,167.65,2022-03-23 04:00:00,784481
56,AAPL,90131418.0,172.2655,171.06,174.07,174.14,170.21,2022-03-24 04:00:00,688102
57,AAPL,80529356.0,174.0232,173.88,174.72,175.28,172.75,2022-03-25 04:00:00,663600
58,AAPL,90371916.0,174.3754,172.17,175.6,175.73,172.0,2022-03-28 04:00:00,716107
59,AAPL,99459940.0,177.8604,176.69,178.96,179.01,176.34,2022-03-29 04:00:00,775943
60,AAPL,91340654.0,178.1191,178.55,177.77,179.61,176.7,2022-03-30 04:00:00,695863
61,AAPL,103049285.0,175.8765,177.84,174.61,178.03,174.4,2022-03-31 04:00:00,716272
62,AAPL,78251328.0,173.4143,174.03,174.31,174.88,171.94,2022-04-01 04:00:00,661160
63,AAPL,76545983.0,177.4855,174.57,178.44,178.49,174.44,2022-04-04 04:00:00,630374
64,AAPL,73401786.0,175.9791,177.5,175.06,178.3,174.415,2022-04-05 04:00:00,621541
65,AAPL,89058782.0,171.7887,172.36,171.83,173.63,170.13,2022-04-06 04:00:00,769485
66,AAPL,77594650.0,171.8049,171.16,172.14,173.36,169.85,2022-04-07 04:00:00,628352
67,AAPL,76534208.0,170.5154,171.78,170.09,171.78,169.2,2022-04-08 04:00:00,614848
68,AAPL,72246706.0,166.692,168.71,165.75,169.03,165.5,2022-04-11 04:00:00,677210
69,AAPL,79265181.0,168.0916,168.02,167.66,169.87,166.64,2022-04-12 04:00:00,678461
70,AAPL,70618925.0,169.6805,167.39,170.4,171.04,166.77,2022-04-13 04:00:00,558072
71,AAPL,75069376.0,167.2264,170.62,165.29,171.27,165.04,2022-04-14 04:00:00,596848
72,AAPL,69023941.0,164.9284,163.92,165.07,166.5984,163.57,2022-04-18 04:00:00,576791
73,AAPL,67723833.0,166.5491,165.02,167.4,167.82,163.91,2022-04-19 04:00:00,548306
74,AAPL,67929814.0,167.3492,168.76,167.23,168.88,166.1,2022-04-20 04:00:00,595063
75,AAPL,87227768.0,168.8014,168.91,166.42,171.53,165.91,2022-04-21 04:00:00,752017
76,AAPL,84875424.0,164.2289,166.46,161.79,167.8699,161.5,2022-04-22 04:00:00,730001
77,AAPL,96017376.0,160.7032,161.12,162.88,163.17,158.46,2022-04-25 04:00:00,925124
78,AAPL,95595226.0,158.6074,162.25,156.8,162.34,156.72,2022-04-26 04:00:00,899965
79,AAPL,88063191.0,157.4448,155.91,156.57,159.79,155.38,2022-04-27 04:00:00,777860
80,AAPL,130149192.0,161.8622,159.25,163.64,164.515,158.93,2022-04-28 04:00:00,1126019
81,AAPL,131747495.0,160.7133,161.84,157.65,166.2,157.25,2022-04-29 04:00:00,1032218
82,AAPL,123050000.0,156.0357,156.71,157.96,158.23,153.27,2022-05-02 04:00:00,1154671
83,AAPL,88966526.0,158.8014,158.15,159.48,160.71,156.32,2022-05-03 04:00:00,706626
84,AAPL,108206503.0,162.4245,159.67,166.02,166.48,159.26,2022-05-04 04:00:00,873681
85,AAPL,130419230.0,158.143,163.85,156.77,164.08,154.95,2022-05-05 04:00:00,1164746
86,AAPL,115494647.0,157.3298,156.01,157.28,159.44,154.18,2022-05-06 04:00:00,1023008
87,AAPL,131577921.0,153.1029,154.925,152.06,155.83,151.49,2022-05-09 04:00:00,1103707
88,AAPL,115366736.0,154.8376,155.52,154.51,156.74,152.93,2022-05-10 04:00:00,988257
89,AAPL,142547625.0,149.4468,153.5,146.5,155.45,145.81,2022-05-11 04:00:00,1310796
90,AAPL,182408091.0,142.066,142.77,142.56,146.2,138.8,2022-05-12 04:00:00,1678454
91,AAPL,113990852.0,146.3255,144.59,147.11,148.105,143.11,2022-05-13 04:00:00,920506
92,AAPL,86643781.0,145.7814,145.55,145.54,147.5199,144.18,2022-05-16 04:00:00,699719
93,AAPL,78138254.0,148.443,148.86,149.24,149.77,146.68,2022-05-17 04:00:00,609263
94,AAPL,109742890.0,142.6901,146.85,140.82,147.3601,139.9,2022-05-18 04:00:00,982288
95,AAPL,135863540.0,138.66,139.88,137.35,141.66,136.6,2022-05-19 04:00:00,1219746
96,AAPL,137392625.0,136.397,139.09,137.59,140.7,132.61,2022-05-20 04:00:00,1133362
97,AAPL,117726265.0,141.4344,137.79,143.11,143.26,137.65,2022-05-23 04:00:00,851032
98,AAPL,104132746.0,139.4136,140.805,140.36,141.97,137.33,2022-05-24 04:00:00,812515
99,AAPL,92482696.0,140.0769,138.43,140.52,141.785,138.34,2022-05-25 04:00:00,688316
100,AAPL,90601098.0,142.3902,137.39,143.78,144.34,137.14,2022-05-26 04:00:00,670652
101,AAPL,91425110.0,148.1995,145.39,149.64,149.68,145.26,2022-05-27 04:00:00,686376
102,AAPL,103718416.0,149.0998,149.07,148.84,150.66,146.84,2022-05-31 04:00:00,706652
103,AAPL,74286635.0,149.3747,149.9,148.71,151.74,147.68,2022-06-01 04:00:00,629251
104,AAPL,72348055.0,149.5215,147.83,151.21,151.27,146.86,2022-06-02 04:00:00,574552
105,AAPL,88570289.0,145.8127,146.9,145.38,147.97,144.46,2022-06-03 04:00:00,761195
106,AAPL,71598380.0,146.6167,147.03,146.14,148.5689,144.9,2022-06-06 04:00:00,605199
107,AAPL,67808150.0,147.5529,144.345,148.71,149.0,144.1,2022-06-07 04:00:00,527360
108,AAPL,53950201.0,148.6118,148.58,147.96,149.8697,147.46,2022-06-08 04:00:00,430174
109,AAPL,69472976.0,145.3266,147.08,142.64,147.95,142.53,2022-06-09 04:00:00,558178
110,AAPL,91566637.0,138.1785,140.28,137.13,140.76,137.06,2022-06-10 04:00:00,826197
111,AAPL,122128099.0,133.128,132.87,131.88,135.2,131.44,2022-06-13 04:00:00,1019929
112,AAPL,84784326.0,132.5738,133.13,132.76,133.89,131.48,2022-06-14 04:00:00,674981
113,AAPL,91532972.0,134.625,134.29,135.43,137.34,132.16,2022-06-15 04:00:00,733275
114,AAPL,107961508.0,130.4622,132.08,130.06,132.39,129.04,2022-06-16 04:00:00,909222
115,AAPL,134520290.0,131.491,130.065,131.56,133.079,129.81,2022-06-17 04:00:00,744035
116,AAPL,81000488.0,135.8508,133.42,135.87,137.06,133.32,2022-06-21 04:00:00,604547
117,AAPL,73409234.0,135.8581,134.79,135.35,137.76,133.91,2022-06-22 04:00:00,530526
118,AAPL,72433768.0,137.2859,136.82,138.27,138.59,135.63,2022-06-23 04:00:00,554898
119,AAPL,88401837.0,140.8332,139.9,141.66,141.91,139.77,2022-06-24 04:00:00,542278
120,AAPL,70207908.0,142.0413,142.695,141.66,143.49,140.965,2022-06-27 04:00:00,516175
121,AAPL,67315328.0,139.3752,142.13,137.44,143.422,137.325,2022-06-28 04:00:00,546240
122,AAPL,66242411.0,139.2737,137.46,139.23,140.67,136.67,2022-06-29 04:00:00,572553
123,AAPL,98964467.0,136.476,137.25,136.72,138.37,133.7737,2022-06-30 04:00:00,710706
124,AAPL,71051552.0,137.4774,136.04,138.93,139.04,135.66,2022-07-01 04:00:00,558680
125,AAPL,73429641.0,139.7669,137.77,141.56,141.61,136.93,2022-07-05 04:00:00,601960
126,AAPL,74064254.0,142.5582,141.355,142.92,144.12,141.08,2022-07-06 04:00:00,585624
127,AAPL,66253709.0,145.6754,143.29,146.35,146.55,143.28,2022-07-07 04:00:00,539961
128,AAPL,64543598.0,146.6409,145.265,147.04,147.55,145.0,2022-07-08 04:00:00,520274
129,AAPL,63305113.0,145.1524,145.67,144.87,146.64,143.78,2022-07-11 04:00:00,496267
130,AAPL,77588759.0,146.7948,145.76,145.86,148.45,145.05,2022-07-12 04:00:00,579531
131,AAPL,71185560.0,145.1932,142.99,145.49,146.45,142.1201,2022-07-13 04:00:00,559357
132,AAPL,78140744.0,146.591,144.08,148.47,148.95,143.25,2022-07-14 04:00:00,614951
133,AAPL,76259931.0,149.5097,149.78,150.17,150.86,148.2,2022-07-15 04:00:00,550061
134,AAPL,81380868.0,149.0297,150.74,147.07,151.57,146.7,2022-07-18 04:00:00,620449
135,AAPL,82969067.0,149.7493,147.92,151.0,151.23,146.91,2022-07-19 04:00:00,576469
136,AAPL,64823413.0,152.6255,151.12,153.04,153.72,150.37,2022-07-20 04:00:00,523491
137,AAPL,65064436.0,154.3545,154.5,155.35,155.57,151.94,2022-07-21 04:00:00,522802
138,AAPL,66675373.0,154.6233,155.39,154.09,156.28,153.41,2022-07-22 04:00:00,527310
139,AAPL,53580745.0,153.3004,154.01,152.95,155.04,152.28,2022-07-25 04:00:00,487391
140,AAPL,55099091.0,151.6799,152.265,151.6,153.085,150.8,2022-07-26 04:00:00,472001
141,AAPL,78620688.0,155.2412,152.58,156.79,157.33,152.16,2022-07-27 04:00:00,579181
142,AAPL,81378731.0,157.4654,156.98,157.35,157.64,154.41,2022-07-28 04:00:00,738631
143,AAPL,101763760.0,162.249,161.24,162.51,163.63,159.5,2022-07-29 04:00:00,773742
144,AAPL,67778379.0,162.1045,161.01,161.51,163.59,160.89,2022-08-01 04:00:00,594290
145,AAPL,59907025.0,160.6921,160.1,160.01,162.41,159.63,2022-08-02 04:00:00,543549
146,AAPL,82507488.0,164.9105,160.84,166.13,166.59,160.75,2022-08-03 04:00:00,682781
147,AAPL,55474144.0,165.5946,166.005,165.81,167.19,164.43,2022-08-04 04:00:00,525012
148,AAPL,56696985.0,164.7432,163.21,165.35,165.85,163.0,2022-08-05 04:00:00,491310
149,AAPL,60362338.0,165.8939,166.37,164.87,167.81,164.2,2022-08-08 04:00:00,540017
150,AAPL,63075503.0,164.8395,164.02,164.92,165.82,163.25,2022-08-09 04:00:00,480552
151,AAPL,70170540.0,168.3496,167.68,169.24,169.34,166.9,2022-08-10 04:00:00,559789
152,AAPL,57142109.0,169.3737,170.06,168.49,170.99,168.19,2022-08-11 04:00:00,507914
153,AAPL,68039382.0,171.0754,169.82,172.1,172.17,169.4,2022-08-12 04:00:00,557624
154,AAPL,54091694.0,172.6254,171.52,173.19,173.39,171.345,2022-08-15 04:00:00,501625
155,AAPL,56377050.0,172.7427,172.78,173.03,173.71,171.6618,2022-08-16 04:00:00,515134
156,AAPL,79542037.0,174.3135,172.77,174.55,176.15,172.57,2022-08-17 04:00:00,686577
157,AAPL,62290075.0,174.1366,173.75,174.15,174.9,173.12,2022-08-18 04:00:00,545655
158,AAPL,70336995.0,172.2302,173.03,171.52,173.74,171.3101,2022-08-19 04:00:00,573126
159,AAPL,68975809.0,168.2677,169.69,167.57,169.86,167.135,2022-08-22 04:00:00,620800
160,AAPL,54147079.0,167.6231,167.08,167.23,168.71,166.65,2022-08-23 04:00:00,494686
161,AAPL,53841524.0,167.3144,167.32,167.53,168.11,166.245,2022-08-24 04:00:00,476970
162,AAPL,51218209.0,169.3503,168.78,170.03,170.14,168.35,2022-08-25 04:00:00,465398
163,AAPL,78960980.0,165.9997,170.57,163.62,171.05,163.56,2022-08-26 04:00:00,722008
164,AAPL,73313953.0,161.5291,161.145,161.38,162.9,159.82,2022-08-29 04:00:00,640593
165,AAPL,77906197.0,159.2926,162.13,158.91,162.56,157.72,2022-08-30 04:00:00,644671
166,AAPL,87991091.0,158.3972,160.305,157.22,160.58,157.14,2022-08-31 04:00:00,606827
167,AAPL,74229896.0,156.5232,156.64,157.96,158.42,154.67,2022-09-01 04:00:00,654667
168,AAPL,76807768.0,157.6597,159.75,155.81,160.362,154.965,2022-09-02 04:00:00,646414
169,AAPL,73714843.0,155.012,156.47,154.53,157.09,153.69,2022-09-06 04:00:00,687436
170,AAPL,87293824.0,155.306,154.825,155.96,156.67,153.61,2022-09-07 04:00:00,696954
171,AAPL,84909447.0,154.3949,154.64,154.46,156.36,152.68,2022-09-08 04:00:00,697264
172,AAPL,68081006.0,156.6625,155.47,157.37,157.82,154.75,2022-09-09 04:00:00,532851
173,AAPL,104955962.0,162.4763,159.59,163.43,164.26,159.3,2022-09-12 04:00:00,801512
174,AAPL,122651554.0,156.1544,159.9,153.84,160.54,153.37,2022-09-13 04:00:00,1018108
175,AAPL,87935409.0,155.2607,154.785,155.31,157.1,153.6106,2022-09-14 04:00:00,716065
176,AAPL,90481110.0,153.0058,154.65,152.37,155.24,151.38,2022-09-15 04:00:00,741143
177,AAPL,160940131.0,150.2326,151.21,150.7,151.35,148.37,2022-09-16 04:00:00,850351
178,AAPL,81474246.0,152.5543,149.31,154.48,154.56,149.1,2022-09-19 04:00:00,671956
179,AAPL,107639796.0,156.1314,153.4,156.9,158.08,153.08,2022-09-20 04:00:00,792170
180,AAPL,101696790.0,156.2959,157.34,153.72,158.74,153.6,2022-09-21 04:00:00,785023
181,AAPL,86652542.0,152.5709,152.38,152.74,154.47,150.91,2022-09-22 04:00:00,686879
182,AAPL,96029909.0,150.0222,151.19,150.43,151.47,148.56,2022-09-23 04:00:00,766882
183,AAPL,93339409.0,151.5222,149.66,150.77,153.7701,149.64,2022-09-26 04:00:00,747666
184,AAPL,84282741.0,152.1335,152.74,151.76,154.72,149.945,2022-09-27 04:00:00,683776
185,AAPL,146661387.0,147.5981,147.64,149.84,150.6414,144.84,2022-09-28 04:00:00,1142717
186,AAPL,128138237.0,142.9002,146.1,142.48,146.72,140.68,2022-09-29 04:00:00,1067281
187,AAPL,124910274.0,140.3818,141.28,138.2,143.1,138.0,2022-09-30 04:00:00,947003
188,AAPL,114311663.0,141.2135,138.21,142.45,143.07,137.685,2022-10-03 04:00:00,838786
189,AAPL,87780064.0,145.4907,145.03,146.1,146.22,144.26,2022-10-04 04:00:00,687504
190,AAPL,79269968.0,145.2495,144.075,146.4,147.38,143.01,2022-10-05 04:00:00,605861
191,AAPL,68308669.0,146.0741,145.81,145.43,147.54,145.22,2022-10-06 04:00:00,538671
192,AAPL,85925559.0,140.7932,142.54,140.09,143.1,139.445,2022-10-07 04:00:00,666459
