,Simbolo,Volumen Negociación,Precio Ponderado,Precio Apertura,Precio Cierre,Precio Alto,Precio Bajo,Fecha,Transacciones
0,INTC,33892932.0,52.8382,51.65,53.21,53.23,51.6,2022-01-03 05:00:00,183323
1,INTC,45681384.0,53.3054,53.57,53.14,53.935,52.65,2022-01-04 05:00:00,256414
2,INTC,59055324.0,54.8516,54.188,53.87,56.17,53.83,2022-01-05 05:00:00,370687
3,INTC,35757880.0,53.947,54.61,54.01,54.67,53.415,2022-01-06 05:00:00,219175
4,INTC,30717218.0,53.6442,54.19,53.44,54.39,53.15,2022-01-07 05:00:00,188302
5,INTC,49260827.0,54.7155,53.97,55.21,55.31,53.31,2022-01-10 05:00:00,313008
6,INTC,39795188.0,55.6034,55.5,55.91,56.08,54.73,2022-01-11 05:00:00,262754
7,INTC,29136787.0,55.5583,56.1363,55.74,56.28,54.81,2022-01-12 05:00:00,202663
8,INTC,29605351.0,55.3184,56.0,54.94,56.21,54.77,2022-01-13 05:00:00,206077
9,INTC,30151532.0,55.2807,54.85,55.7,55.77,54.53,2022-01-14 05:00:00,184734
10,INTC,35332588.0,54.9632,55.31,54.76,55.65,54.68,2022-01-18 05:00:00,209044
11,INTC,30595113.0,54.0194,54.63,53.62,54.85,53.56,2022-01-19 05:00:00,187518
12,INTC,28582607.0,52.9246,53.86,52.04,54.085,51.94,2022-01-20 05:00:00,202767
13,INTC,46372373.0,52.4126,52.08,52.04,53.1299,51.95,2022-01-21 05:00:00,309617
14,INTC,64273633.0,51.2562,51.48,51.94,52.1291,49.88,2022-01-24 05:00:00,432242
15,INTC,44095360.0,51.0337,51.01,51.0,51.62,50.25,2022-01-25 05:00:00,297932
16,INTC,54895393.0,51.7419,51.13,51.69,52.72,50.75,2022-01-26 05:00:00,374100
17,INTC,89642770.0,48.3469,49.98,48.05,50.06,47.78,2022-01-27 05:00:00,649662
18,INTC,61834608.0,47.1091,47.71,47.73,48.2,46.3,2022-01-28 05:00:00,434645
19,INTC,51828446.0,48.2867,47.68,48.82,48.87,47.305,2022-01-31 05:00:00,269399
20,INTC,35386062.0,48.7447,48.775,48.95,49.03,48.36,2022-02-01 05:00:00,237086
21,INTC,34962659.0,49.0696,48.245,49.51,49.58,48.09,2022-02-02 05:00:00,234407
22,INTC,42145836.0,48.6676,49.25,48.28,49.685,48.25,2022-02-03 05:00:00,243889
23,INTC,32423034.0,47.8429,47.86,48.01,48.2399,47.13,2022-02-04 05:00:00,208013
24,INTC,27558469.0,48.2454,48.13,48.18,48.66,47.96,2022-02-07 05:00:00,159211
25,INTC,28051185.0,48.6016,47.98,48.81,48.94,47.9,2022-02-08 05:00:00,153031
26,INTC,35203300.0,49.6515,49.33,49.91,49.97,48.825,2022-02-09 05:00:00,186859
27,INTC,32736842.0,49.1957,49.18,48.86,49.9325,48.76,2022-02-10 05:00:00,220012
28,INTC,37158627.0,48.1232,48.95,47.63,49.11,47.5,2022-02-11 05:00:00,239885
29,INTC,28456926.0,47.5974,47.92,47.58,48.1772,47.1101,2022-02-14 05:00:00,198138
30,INTC,35707024.0,48.1121,47.7,48.44,48.46,47.19,2022-02-15 05:00:00,199492
31,INTC,26022941.0,48.1323,48.06,48.23,48.49,47.6,2022-02-16 05:00:00,190886
32,INTC,32030624.0,47.7048,47.86,47.57,48.26,47.38,2022-02-17 05:00:00,196114
33,INTC,76520104.0,45.0866,46.19,45.04,46.21,44.51,2022-02-18 05:00:00,505174
