,Simbolo,Volumen Negociación,Precio Ponderado,Precio Apertura,Precio Cierre,Precio Alto,Precio Bajo,Fecha,Transacciones
0,MSFT,28918012.0,333.3801,335.35,334.75,338.0,329.78,2022-01-03 05:00:00,395292
1,MSFT,32670706.0,329.4477,334.83,329.01,335.2,326.12,2022-01-04 05:00:00,517992
2,MSFT,40054325.0,320.0278,325.86,316.38,326.07,315.98,2022-01-05 05:00:00,640413
3,MSFT,39632144.0,315.2052,313.15,313.88,318.7,311.49,2022-01-06 05:00:00,628047
4,MSFT,32710400.0,313.7812,314.15,314.04,316.5,310.09,2022-01-07 05:00:00,499823
5,MSFT,44273717.0,309.9294,309.485,314.27,314.72,304.69,2022-01-10 05:00:00,692526
6,MSFT,29386774.0,314.2093,313.38,314.98,316.61,309.89,2022-01-11 05:00:00,421384
7,MSFT,34372217.0,319.4289,319.67,318.27,323.41,317.08,2022-01-12 05:00:00,498637
8,MSFT,45365979.0,309.6876,320.4658,304.8,320.88,304.0,2022-01-13 05:00:00,712340
9,MSFT,39844762.0,307.9922,304.25,310.2,310.82,303.75,2022-01-14 05:00:00,527079
10,MSFT,42204112.0,304.6894,304.07,302.65,309.8,301.74,2022-01-18 05:00:00,658678
11,MSFT,45933855.0,308.2993,306.29,303.33,313.9093,302.7,2022-01-19 05:00:00,680162
12,MSFT,35380675.0,307.057,309.07,301.6,311.6494,301.14,2022-01-20 05:00:00,552351
13,MSFT,57984403.0,299.621,302.685,296.03,304.11,295.61,2022-01-21 05:00:00,887179
14,MSFT,86025393.0,288.8074,292.2,296.37,297.11,276.05,2022-01-24 05:00:00,1302281
15,MSFT,72848368.0,288.3988,291.52,288.49,294.99,285.17,2022-01-25 05:00:00,1113735
16,MSFT,90428853.0,300.3828,307.985,296.71,308.5,293.03,2022-01-26 05:00:00,1195374
17,MSFT,53481317.0,302.4325,302.66,299.84,307.3,297.93,2022-01-27 05:00:00,741935
18,MSFT,49743698.0,302.7982,300.23,308.26,308.48,294.45,2022-01-28 05:00:00,696183
19,MSFT,46444536.0,309.4288,308.95,310.98,312.38,306.37,2022-01-31 05:00:00,645244
20,MSFT,40950396.0,307.3995,310.41,308.76,310.63,305.1293,2022-02-01 05:00:00,598895
21,MSFT,36635989.0,312.2137,309.63,313.46,315.12,308.88,2022-02-02 05:00:00,513102
22,MSFT,43729972.0,305.2465,309.49,301.25,311.23,299.96,2022-02-03 05:00:00,585711
23,MSFT,35093302.0,305.3962,300.21,305.94,308.8,299.97,2022-02-04 05:00:00,509726
24,MSFT,28533286.0,303.3434,306.17,300.95,307.84,299.9,2022-02-07 05:00:00,426621
25,MSFT,32314988.0,303.6698,301.25,304.56,305.561,299.95,2022-02-08 05:00:00,423786
26,MSFT,31280171.0,309.6261,309.865,311.21,311.93,307.39,2022-02-09 05:00:00,444035
27,MSFT,45386199.0,304.061,304.04,302.38,309.12,300.7,2022-02-10 05:00:00,608483
28,MSFT,39160620.0,298.1235,303.19,295.04,304.29,294.22,2022-02-11 05:00:00,615557
29,MSFT,36359487.0,294.405,293.77,295.0,296.76,291.35,2022-02-14 05:00:00,539722
30,MSFT,27370688.0,299.5681,300.008,300.47,300.8,297.02,2022-02-15 05:00:00,400816
31,MSFT,29970121.0,297.4874,298.365,299.5,300.87,293.68,2022-02-16 05:00:00,415675
32,MSFT,32461580.0,292.994,296.36,290.73,296.8,290.0,2022-02-17 05:00:00,507106
33,MSFT,34256508.0,289.1356,293.05,287.93,293.86,286.305,2022-02-18 05:00:00,554368
34,MSFT,41736117.0,287.6534,285.0,287.72,291.54,284.5,2022-02-22 05:00:00,605791
35,MSFT,37797167.0,284.2303,290.18,280.27,291.7,280.1,2022-02-23 05:00:00,647355
36,MSFT,56989686.0,285.4542,272.51,294.59,295.16,271.52,2022-02-24 05:00:00,809370
37,MSFT,32546721.0,295.6957,295.14,297.31,297.63,291.655,2022-02-25 05:00:00,521051
38,MSFT,34627457.0,296.5331,294.31,298.79,299.14,293.0,2022-02-28 05:00:00,452982
39,MSFT,31217778.0,295.8563,296.4,294.95,299.97,292.15,2022-03-01 05:00:00,468639
40,MSFT,31873007.0,298.8646,295.36,300.19,301.47,293.698,2022-03-02 05:00:00,531573
41,MSFT,27314469.0,297.4481,302.89,295.92,303.13,294.05,2022-03-03 05:00:00,408448
42,MSFT,32369655.0,289.9672,294.29,289.86,295.66,287.165,2022-03-04 05:00:00,539374
43,MSFT,43157178.0,281.6699,288.53,278.91,289.69,278.53,2022-03-07 05:00:00,672964
44,MSFT,48157675.0,276.5819,277.8,275.85,283.96,270.0,2022-03-08 05:00:00,700050
45,MSFT,35204480.0,286.2058,283.44,288.5,289.6,280.78,2022-03-09 05:00:00,506108
46,MSFT,30628012.0,283.9699,283.02,285.59,286.6,280.58,2022-03-10 05:00:00,461547
47,MSFT,27209330.0,283.7288,287.96,280.07,289.51,279.43,2022-03-11 05:00:00,421226
48,MSFT,30660747.0,279.6999,280.34,276.44,285.3992,275.82,2022-03-14 04:00:00,435907
49,MSFT,34245085.0,284.064,280.35,287.15,287.82,278.725,2022-03-15 04:00:00,507324
