,Simbolo,Volumen Negociación,Precio Ponderado,Precio Apertura,Precio Cierre,Precio Alto,Precio Bajo,Fecha,Transacciones
0,NVDA,39240294.0,302.2089,298.15,301.21,307.11,297.85,2022-01-03 05:00:00,585469
1,NVDA,52715440.0,290.8154,302.77,292.9,304.68,283.49,2022-01-04 05:00:00,894297
2,NVDA,49806388.0,282.8943,289.49,276.04,294.16,275.33,2022-01-05 05:00:00,836624
3,NVDA,45418636.0,279.5098,276.4,281.78,284.3799,270.65,2022-01-06 05:00:00,725603
4,NVDA,40993851.0,275.1844,281.41,272.47,284.22,270.57,2022-01-07 05:00:00,639610
5,NVDA,59461560.0,263.8937,265.81,274.0,274.69,256.4384,2022-01-10 05:00:00,991811
6,NVDA,40408929.0,275.4607,273.225,278.17,280.65,268.39,2022-01-11 05:00:00,572165
7,NVDA,38341346.0,280.7656,280.665,279.99,285.95,276.08,2022-01-12 05:00:00,562208
8,NVDA,53857879.0,271.4338,283.79,265.75,284.8,264.98,2022-01-13 05:00:00,845316
9,NVDA,39583233.0,267.8048,263.0,269.42,271.969,262.1001,2022-01-14 05:00:00,620045
10,NVDA,42530617.0,261.2819,262.6,259.03,266.38,257.7,2022-01-18 05:00:00,672210
11,NVDA,48831451.0,256.1988,260.79,250.67,265.4317,250.52,2022-01-19 05:00:00,738208
12,NVDA,43518073.0,249.4445,253.04,241.5,255.7904,240.78,2022-01-20 05:00:00,742834
13,NVDA,71895784.0,238.1255,235.07,233.74,248.23,232.63,2022-01-21 05:00:00,1074672
14,NVDA,91581063.0,221.4189,223.3,233.72,233.8,208.88,2022-01-24 05:00:00,1421722
15,NVDA,66458403.0,224.3052,225.46,223.24,229.43,220.0,2022-01-25 05:00:00,990557
16,NVDA,75595872.0,232.3575,232.4,227.72,240.57,223.0,2022-01-26 05:00:00,1068933
17,NVDA,57321272.0,224.2345,235.68,219.44,239.95,216.75,2022-01-27 05:00:00,871286
18,NVDA,54353925.0,221.1099,220.1215,228.4,228.58,212.96,2022-01-28 05:00:00,758751
19,NVDA,56417968.0,239.3301,231.82,244.86,245.09,230.52,2022-01-31 05:00:00,754762
20,NVDA,51891167.0,244.1687,251.04,246.38,251.45,238.9001,2022-02-01 05:00:00,699901
21,NVDA,54241941.0,251.5912,257.94,252.42,258.17,245.5301,2022-02-02 05:00:00,787625
22,NVDA,41017778.0,244.0767,244.58,239.48,250.77,237.8,2022-02-03 05:00:00,589412
23,NVDA,35482850.0,242.2771,239.72,243.19,246.35,236.32,2022-02-04 05:00:00,488979
24,NVDA,37686750.0,247.6307,243.72,247.28,251.82,242.02,2022-02-07 05:00:00,500319
25,NVDA,41035864.0,247.3463,243.59,251.08,252.3,239.8,2022-02-08 05:00:00,573659
26,NVDA,52428166.0,262.1008,256.22,267.05,267.25,253.53,2022-02-09 05:00:00,834600
27,NVDA,51319972.0,263.0375,259.95,258.24,269.2499,256.0,2022-02-10 05:00:00,757005
28,NVDA,60364498.0,246.9625,259.16,239.49,261.52,237.73,2022-02-11 05:00:00,876127
29,NVDA,44022692.0,243.4797,239.34,242.67,248.75,237.55,2022-02-14 05:00:00,642000
30,NVDA,70175280.0,259.8881,249.49,264.95,265.45,247.84,2022-02-15 05:00:00,938421
31,NVDA,73262383.0,261.3675,262.59,265.11,265.82,255.52,2022-02-16 05:00:00,1135446
32,NVDA,81059508.0,246.9708,256.3,245.07,257.85,241.65,2022-02-17 05:00:00,1119837
33,NVDA,75725491.0,237.3343,246.675,236.42,249.86,231.0,2022-02-18 05:00:00,1038519
34,NVDA,63323244.0,234.4209,230.35,233.9,240.6399,230.0,2022-02-22 05:00:00,831891
35,NVDA,56651077.0,230.3268,238.02,223.87,241.5499,223.01,2022-02-23 05:00:00,806736
36,NVDA,73577363.0,224.8749,210.15,237.48,238.0,208.9,2022-02-24 05:00:00,985716
37,NVDA,52886551.0,238.7851,237.21,241.57,242.17,233.81,2022-02-25 05:00:00,709315
38,NVDA,47731861.0,241.8091,239.92,243.85,246.65,237.0701,2022-02-28 05:00:00,590306
39,NVDA,41205598.0,236.3823,242.91,234.77,243.77,231.32,2022-03-01 05:00:00,604807
40,NVDA,38964185.0,240.2761,237.56,242.2,244.09,234.15,2022-03-02 05:00:00,516755
41,NVDA,36503879.0,238.5637,242.615,237.14,243.2599,234.69,2022-03-03 05:00:00,501439
42,NVDA,43201070.0,229.4047,233.84,229.36,236.8,224.82,2022-03-04 05:00:00,619723
43,NVDA,45082089.0,219.3648,228.17,213.52,230.33,213.3,2022-03-07 05:00:00,701458
44,NVDA,55746719.0,215.3547,213.09,215.14,223.7299,206.5,2022-03-08 05:00:00,722737
45,NVDA,49274195.0,227.8595,223.87,230.14,232.2,222.47,2022-03-09 05:00:00,610239
46,NVDA,42806565.0,223.6303,225.31,226.58,227.88,218.82,2022-03-10 05:00:00,568264
47,NVDA,36695857.0,224.9843,230.22,221.0,231.45,220.46,2022-03-11 05:00:00,554584
48,NVDA,38535424.0,216.0595,218.69,213.3,222.62,211.5901,2022-03-14 04:00:00,556360
49,NVDA,49199569.0,225.2202,215.18,229.73,230.38,213.2201,2022-03-15 04:00:00,643180
50,NVDA,66716474.0,239.9899,235.0,244.96,245.97,231.72,2022-03-16 04:00:00,796764
51,NVDA,47194119.0,244.4553,241.2,247.66,248.42,239.06,2022-03-17 04:00:00,593846
52,NVDA,73033856.0,260.2692,247.99,264.53,265.6899,246.24,2022-03-18 04:00:00,769519
53,NVDA,59120358.0,265.1678,265.07,267.34,271.5199,259.67,2022-03-21 04:00:00,735243
54,NVDA,54700710.0,267.3988,267.27,265.24,272.38,260.72,2022-03-22 04:00:00,726980
55,NVDA,50211986.0,260.3209,261.26,256.34,266.115,255.7501,2022-03-23 04:00:00,648445
56,NVDA,87737914.0,275.4653,261.66,281.5,283.1999,259.07,2022-03-24 04:00:00,1123832
57,NVDA,57901618.0,277.3748,278.86,276.92,283.58,272.71,2022-03-25 04:00:00,756932
58,NVDA,42549392.0,278.1882,277.555,282.19,282.5,272.06,2022-03-28 04:00:00,600917
59,NVDA,48848440.0,284.5976,286.945,286.56,289.46,279.8,2022-03-29 04:00:00,687062
60,NVDA,46348713.0,279.87,283.04,276.9,284.955,275.03,2022-03-30 04:00:00,625543
61,NVDA,52339022.0,277.2384,277.82,272.86,282.48,272.7,2022-03-31 04:00:00,650064
62,NVDA,51723511.0,266.6257,273.75,267.12,274.96,262.67,2022-04-01 04:00:00,693982
63,NVDA,39770782.0,272.5287,267.28,273.6,275.58,266.13,2022-04-04 04:00:00,499185
64,NVDA,43654352.0,262.9166,272.54,259.31,273.19,258.2,2022-04-05 04:00:00,639993
65,NVDA,70076148.0,245.2649,249.34,244.07,253.0,240.03,2022-04-06 04:00:00,988183
66,NVDA,55799236.0,241.549,244.41,242.08,247.22,234.78,2022-04-07 04:00:00,714654
67,NVDA,52478064.0,233.2497,239.17,231.19,239.23,230.6201,2022-04-08 04:00:00,671401
68,NVDA,57483434.0,219.556,222.14,219.17,223.1994,216.6,2022-04-11 04:00:00,883230
69,NVDA,65771807.0,218.7215,225.37,215.04,227.25,212.8204,2022-04-12 04:00:00,926864
70,NVDA,51667344.0,220.6315,217.28,222.03,225.0,214.55,2022-04-13 04:00:00,655301
71,NVDA,56909685.0,217.2758,225.05,212.58,227.77,211.63,2022-04-14 04:00:00,789247
72,NVDA,52570061.0,216.403,212.0,217.83,220.88,210.79,2022-04-18 04:00:00,603364
73,NVDA,51270658.0,220.426,217.2,221.98,223.73,213.14,2022-04-19 04:00:00,590022
74,NVDA,46897444.0,216.4164,225.171,214.82,226.7037,212.0,2022-04-20 04:00:00,639623
75,NVDA,65610344.0,208.5471,217.0915,201.83,223.92,200.0,2022-04-21 04:00:00,939649
76,NVDA,62416343.0,198.8925,203.03,195.15,204.86,195.0,2022-04-22 04:00:00,995921
77,NVDA,64147821.0,194.9388,192.02,199.02,199.45,190.96,2022-04-25 04:00:00,719523
78,NVDA,65314250.0,189.8777,197.18,187.88,197.88,186.7,2022-04-26 04:00:00,760878
79,NVDA,49946017.0,186.4271,185.98,184.15,191.67,182.9,2022-04-27 04:00:00,618285
80,NVDA,57032671.0,193.4997,189.67,197.82,200.37,184.8957,2022-04-28 04:00:00,635751
81,NVDA,50043491.0,191.3596,194.02,185.47,201.2848,185.17,2022-04-29 04:00:00,612471
82,NVDA,57204868.0,189.7449,185.405,195.33,195.74,183.91,2022-05-02 04:00:00,595324
83,NVDA,47575084.0,195.2825,194.0,196.02,198.25,191.33,2022-05-03 04:00:00,502553
84,NVDA,64885463.0,195.0596,199.23,203.34,204.0,187.51,2022-05-04 04:00:00,751637
85,NVDA,62583141.0,189.5077,198.67,188.44,199.25,185.0,2022-05-05 04:00:00,763625
86,NVDA,62803672.0,187.5339,187.36,186.75,195.12,179.9,2022-05-06 04:00:00,702413
87,NVDA,64445451.0,174.0198,180.34,169.5,182.55,168.27,2022-05-09 04:00:00,822227
88,NVDA,75140229.0,176.0605,176.89,175.95,181.98,170.25,2022-05-10 04:00:00,806185
89,NVDA,66971139.0,171.1927,173.47,166.3,177.53,165.68,2022-05-11 04:00:00,778025
90,NVDA,70863837.0,160.72,162.191,161.75,167.88,155.67,2022-05-12 04:00:00,903255
91,NVDA,67023651.0,174.8465,167.88,177.06,179.2843,165.925,2022-05-13 04:00:00,719347
92,NVDA,52144598.0,174.449,175.09,172.64,177.88,171.06,2022-05-16 04:00:00,483480
93,NVDA,58582971.0,180.0808,180.74,181.77,183.71,176.34,2022-05-17 04:00:00,563506
94,NVDA,54516106.0,173.659,177.05,169.38,181.18,168.64,2022-05-18 04:00:00,536759
95,NVDA,62130959.0,172.781,169.37,171.24,176.87,167.3405,2022-05-19 04:00:00,549159
96,NVDA,73910526.0,163.8915,173.32,166.94,174.1,157.55,2022-05-20 04:00:00,722854
97,NVDA,63988869.0,166.4595,162.74,168.98,169.15,161.7901,2022-05-23 04:00:00,546192
98,NVDA,58855002.0,161.2397,165.1,161.54,165.97,157.8,2022-05-24 04:00:00,558878
99,NVDA,77979990.0,165.7176,160.2,169.75,171.1099,160.0,2022-05-25 04:00:00,768374
100,NVDA,99612452.0,174.6776,160.36,178.51,180.92,160.22,2022-05-26 04:00:00,914404
101,NVDA,73838014.0,185.5112,181.86,188.11,188.81,181.0,2022-05-27 04:00:00,701004
